cam_path,Throttle,Steering,Braking
pokemon/034173.png,0,0.002084356,0.699999988
pokemon/034183.png,0.850000024,-0.023187323,0
pokemon/034193.png,0.850000024,-0.007533909,0
pokemon/034203.png,0.191687167,-0.007562282,0
pokemon/034213.png,0.687606514,-0.015506497,0
pokemon/034223.png,0.850000024,-0.011828274,0
pokemon/034233.png,0,-0.010187385,0.699999988
pokemon/034243.png,0.850000024,-0.040268652,0
pokemon/034253.png,0.850000024,-0.028399076,0
pokemon/034263.png,0.850000024,-0.007767993,0
pokemon/034273.png,0.323923707,-0.00844749,0
pokemon/034283.png,0,-0.003722245,0.686366916
pokemon/034293.png,0.850000024,0.000477583,0
pokemon/034303.png,0,-0.00062201,0.699999988
pokemon/034313.png,0.850000024,0,0
pokemon/034323.png,0.167969018,0,0
pokemon/034333.png,0,0,0.699999988
pokemon/034343.png,0.850000024,0.000800664,0
pokemon/034353.png,0.850000024,-0.002780866,0
pokemon/034363.png,0,0,0.699999988
pokemon/034373.png,0.139771372,0,0
pokemon/034383.png,0.724823713,0,0
pokemon/034393.png,0.850000024,0.001695234,0
pokemon/034403.png,0.121035658,-0.060839888,0
pokemon/034413.png,0.149704114,-0.057030566,0
pokemon/034423.png,0,-0.031979114,0.333426595
pokemon/034433.png,0,-0.074923716,0.699999988
pokemon/034443.png,0.23048231,-0.06101153,0
pokemon/034453.png,0,-0.05789258,0.699999988
pokemon/034463.png,0,-0.065351419,0.249922156
pokemon/034473.png,0,-0.006428304,0.699999988
pokemon/034483.png,0.850000024,0.000633615,0
pokemon/034493.png,0.850000024,0.000248524,0
pokemon/034503.png,0,0,1
pokemon/034513.png,0.850000024,-0.000439827,0
pokemon/034523.png,0.631170869,0,0
pokemon/034533.png,0,0.000175733,0.195866033
pokemon/034543.png,0.721257627,0,0
pokemon/034553.png,0.850000024,-0.000311182,0
pokemon/034563.png,0,0.000175733,0.210944474
pokemon/034573.png,0.668726027,-0.001996591,0
pokemon/034583.png,0,0.002075281,0.090277471
pokemon/034593.png,0.589139163,-0.040080857,0
